,team_idx,team
7361,713,Aasm
7364,714,Agroatães
7366,715,Clube Galpenergia Norte
7369,716,G D Limpeza Urbana - Cmp
7371,717,Shots International Runners
7373,718,Futebol Clube Penafiel
7375,719,Dinis Tavares
7378,720,A.R. Luz E Vida Gondomarense
7383,721,Serpentine Rc
7386,722,Navais
7389,723,Abekulas
7400,724,Fc Parada
7406,725,Academia Fernanda Ribeiro
7412,726,Adrulsm-Uls Matosinhos
7417,727,Charon
7421,728,A.D.R.Outeirense
7422,729,Gd Banco Pinto & Sotto Mayor
7426,730,Cenap
7430,731,Holmes Place Arrábida
7442,732,Os Compinchas Da Corrida
7447,733,Clube Pt Zona Norte - Atletas
7450,734,Familia Brandao E Amigos
7459,735,Fapomed
7464,736,Sapateiros Da Aldeola
7466,737,Os Mulas
7468,738,Ginasio Clube Vilacondense
7481,739,Parque Health Clube
7487,740,Gaia Running
7490,741,Horserace
7501,742,H3 Runners
7511,743,Ind
7515,744,Aasm - Triatlo
7519,745,A. C. Alfenense
7526,746,Teds
7531,747,Divertidos
7535,748,Maia A.C. - Go Saude
7554,749,Cienfragancias Gondomar
7563,750,Raquel Guimarães
7567,751,Poteeentes
7572,752,Lamprunners
7576,753,Bracara Runners
7578,754,Runners Armamar
7585,755,Run For A Reson
7586,756,Caracoolrunners
7587,757,Cctrofa
7588,758,Airorun
7590,759,Mota-Engil
7598,760,Irmãos Carvalho Coleccionismo
7603,761,Parjovem - Satecnosol
7604,762,Os Famalicenses
7605,763,Balateam
7608,764,Gc
7610,765,Caldas S. Jorge Sport Clube
7617,766,A Dupla
7620,767,Farmacia Lusa
7624,768,Ctad Tiagoaragao.Com
7636,769,Moove Vila Real
7642,770,Mocidade S. Gemil
7661,771,Runningmadness
7663,772,Ascum
7666,773,Ultimo Km
7671,774,G.D.Pinto & Cruz
7676,775,Ad Esmeriz
7686,776,Ss Montepio
7689,777,Quinta Essencia
7699,778,Tripla Forma-Clube De Corrida
7705,779,Papa-Milhas
7710,780,Runners Monte Aventino
7718,781,Edv Viana Trail
7719,782,Armazém  Living
7732,783,Dualtrend
7737,784,Cracks Clube De Lamego
7745,785,Clube Brisa
7747,786,Ajudaris
7750,787,Gd Bpi
7753,788,Delta
7754,789,Banco Bic
7759,790,Vodafone
7764,791,Trio Odemira
7772,792,Passatempo Porto Lazer
7779,793,Aas Mamede
7780,794,4run
7807,795,Praças Da Armada
7820,796,Grupo Desportivo Vale Do Ave
7825,797,2 Run 4 Guide Dogs
7838,798,Solinca
7840,799,Corremos Com Eles!
7843,800,Biomater
7845,801,Ltdc
7850,802,Grupo Desportivo Dos Ferroviários De Campanhã
7851,803,Academico Runners
7852,804,Edtronica
7860,805,Rota Da Castanha
7871,806,Bonitos Jeitosos E Rapidos
7882,807,Grupo Desportivo Do Estreito
7891,808,Veteranos Do Berço
7893,809,Turbulentos
7920,810,No Tomorrow Running Team
7923,811,Ccdt C.M.Gondomar
7931,812,Bad Team Ridersrarissimas
7934,813,Running Class Frederico Silva Personal Trainer
7944,814,Fita
7959,815,Comandos De 87
7963,816,Casa De Pessoal Rtp Porto
7964,817,4 Runners Team
7965,818,Ccd Apdl
7966,819,Pernas De Gafanhoto
7983,820,Francesinhateam
7986,821,Acoreana Club Banif
7989,822,Question Team
7990,823,Runforrestrun
7993,824,Figueiró Runners
7995,825,Confeitaria Padrao
8010,826,Santo Tirso Runners
8013,827,Ccd Preh
8015,828,Passatempo Porto Alive
8022,829,Usain & Amigos
8029,830,Envienergy Runners
8043,831,Cardoso
8045,832,Li Fung Portugal
8048,833,Brigada Reumatica
8054,834,S. Félix Da Marinha
8063,835,Lagaresport
8089,836,Corridas Pernas Pro Ar
8107,837,Ed. F. E Desporto Universidade Lusofona Do Porto
8109,838,Cp Its
8117,839,Irmandade Do Enfarte
8120,840,Futuros Pais :-)
8141,841,Sempre A Correr
8153,842,Corridas De Pernas Pro Ar
8158,843,Clube De Futebol Oliveira Do Douro
8169,844,Bike Teknic Track - Nvending
8171,845,Horserase
8201,846,Carvalho Team
